,user_id,timestamp,group,landing_page,converted
4,864975,52:26.2,control,old_page,1
6,679687,26:46.9,treatment,new_page,1
8,817355,58:09.0,treatment,new_page,1
9,839785,11:06.6,treatment,new_page,1
15,644214,05:21.7,control,old_page,1
17,888545,37:26.3,treatment,new_page,1
26,892356,35:14.9,treatment,new_page,1
28,913579,11:39.2,control,old_page,1
32,875124,39:25.4,treatment,new_page,1
36,831737,18:20.9,control,old_page,1
43,862225,49:37.3,control,old_page,1
51,850231,18:04.8,control,old_page,1
67,834137,20:07.6,control,old_page,1
80,696202,50:10.4,control,old_page,1
88,792499,30:53.4,treatment,new_page,1
89,832316,58:44.7,control,old_page,1
106,800982,37:56.7,treatment,new_page,1
113,868502,17:37.1,treatment,new_page,1
117,704513,42:33.4,treatment,new_page,1
126,903977,48:01.0,treatment,new_page,1
135,732099,55:46.8,treatment,new_page,1
138,652015,59:59.9,treatment,new_page,1
142,938283,46:14.4,control,old_page,1
145,857251,28:49.8,control,old_page,1
149,803036,11:42.2,treatment,new_page,1
165,916276,18:33.0,control,old_page,1
167,678160,02:10.7,treatment,new_page,1
178,862691,49:55.3,control,old_page,1
183,897941,22:02.3,control,old_page,1
186,716162,23:57.1,treatment,new_page,1
190,859483,51:09.6,treatment,new_page,1
192,656468,13:29.8,treatment,new_page,1
193,724109,40:41.2,control,old_page,1
206,807785,54:12.4,control,old_page,1
210,939188,37:23.9,control,old_page,1
226,773693,05:45.2,control,old_page,1
235,746858,44:48.5,treatment,new_page,1
238,680519,06:41.6,treatment,new_page,1
239,810338,20:26.1,treatment,new_page,1
253,662210,17:28.6,treatment,new_page,1
255,861241,29:31.5,control,old_page,1
256,649981,11:43.2,control,old_page,1
261,853744,26:40.7,control,old_page,1
282,917603,34:57.0,treatment,new_page,1
284,839049,20:29.2,treatment,new_page,1
286,797845,17:01.1,control,old_page,1
289,723386,15:48.8,control,old_page,1
290,764241,46:12.6,treatment,new_page,1
297,736807,12:24.5,treatment,new_page,1
306,827871,06:18.4,control,old_page,1
325,920908,22:18.8,treatment,new_page,1
347,792577,57:04.7,control,old_page,1
348,647872,45:33.6,control,old_page,1
355,817110,33:06.8,treatment,new_page,1
358,648312,58:45.3,treatment,new_page,1
360,757878,01:31.5,treatment,new_page,1
372,668246,04:02.3,treatment,new_page,1
378,689991,33:28.3,control,old_page,1
385,915326,08:30.9,control,old_page,1
388,931120,03:23.1,treatment,new_page,1
392,851848,02:03.1,treatment,new_page,1
395,676481,19:12.5,treatment,new_page,1
415,851159,25:12.8,treatment,new_page,1
425,816993,54:16.2,treatment,new_page,1
426,694096,12:45.5,treatment,new_page,1
427,795159,36:04.7,treatment,new_page,1
442,821526,02:03.5,treatment,new_page,1
451,807161,54:18.3,control,old_page,1
456,864258,59:45.0,control,old_page,1
472,831672,23:32.2,treatment,new_page,1
473,804093,24:21.3,control,old_page,1
478,867227,27:11.2,control,old_page,1
485,641897,07:10.4,control,old_page,1
494,864453,23:43.1,treatment,new_page,1
495,844747,10:31.7,control,old_page,1
496,655595,56:05.7,control,old_page,1
500,678855,27:20.4,control,old_page,1
519,777806,38:18.6,control,old_page,1
520,659571,32:07.8,control,old_page,1
527,913497,49:26.2,control,old_page,1
532,735241,00:32.3,control,old_page,1
544,733434,08:33.2,control,old_page,1
548,900958,37:48.1,control,old_page,1
557,930981,57:59.7,treatment,new_page,1
564,733260,23:06.8,control,old_page,1
567,903546,12:09.7,control,old_page,1
568,832861,35:45.5,treatment,new_page,1
569,832425,57:24.7,control,old_page,1
577,673153,22:42.4,control,old_page,1
585,660142,46:56.3,control,old_page,1
591,715750,28:54.5,treatment,new_page,1
598,905045,11:26.0,treatment,new_page,1
602,705723,09:36.1,treatment,new_page,1
639,839364,09:28.3,treatment,new_page,1
642,817575,36:52.0,treatment,new_page,1
645,762827,34:30.4,treatment,new_page,1
646,690170,28:15.2,treatment,new_page,1
651,847020,09:42.6,treatment,new_page,1
652,648008,47:42.7,control,old_page,1
661,895583,18:57.6,treatment,new_page,1
704,846844,01:16.4,control,old_page,1
715,725787,43:11.3,control,old_page,1
721,694078,04:33.4,control,old_page,1
726,650917,36:25.4,treatment,new_page,1
729,867081,06:07.8,treatment,new_page,1
739,777585,20:31.2,treatment,new_page,1
745,759775,04:20.9,control,old_page,1
748,690701,05:38.2,control,old_page,1
753,646066,04:49.4,treatment,new_page,1
760,677203,50:33.7,treatment,new_page,1
768,911667,32:36.4,treatment,new_page,1
773,891768,01:07.6,treatment,new_page,1
